[2026-05-05 19:07:49] STATUS: SPOOFING_ALERT | TRUST: 20% | RSSI: -11.14 dB
[2026-05-05 22:01:27] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -50.21 dB
[2026-05-05 22:01:29] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.23 dB
[2026-05-05 22:01:32] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -51.44 dB
[2026-05-05 22:01:35] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.58 dB
[2026-05-05 22:01:47] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.20 dB
[2026-05-05 22:01:50] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.43 dB
[2026-05-05 22:01:54] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -55.41 dB
[2026-05-05 22:01:57] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.13 dB
[2026-05-05 22:02:00] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.06 dB
[2026-05-05 22:02:03] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -11.84 dB
[2026-05-05 22:02:06] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.36 dB
[2026-05-05 22:02:09] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -9.36 dB
[2026-05-05 22:02:12] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.24 dB
[2026-05-05 22:02:16] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.10 dB
[2026-05-05 22:02:19] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -51.27 dB
[2026-05-05 22:02:24] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.89 dB
[2026-05-05 22:02:26] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -9.05 dB
[2026-05-05 22:02:29] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.22 dB
[2026-05-05 22:02:32] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.76 dB
[2026-05-05 22:02:35] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.48 dB
[2026-05-05 22:02:37] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -8.08 dB
[2026-05-05 22:02:40] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.09 dB
[2026-05-05 22:02:43] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.81 dB
[2026-05-05 22:02:46] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -18.13 dB
[2026-05-05 22:02:50] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 16.0% | RSSI: -30.46 dB
[2026-05-05 22:02:52] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.98 dB
[2026-05-05 22:02:55] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.05 dB
[2026-05-05 22:02:57] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.83 dB
[2026-05-05 22:03:00] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -45.98 dB
[2026-05-05 22:03:02] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.04 dB
[2026-05-05 22:03:05] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.81 dB
[2026-05-05 22:03:07] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.95 dB
[2026-05-05 22:03:10] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.70 dB
[2026-05-05 22:03:12] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -16.29 dB
[2026-05-05 22:03:15] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.01 dB
[2026-05-05 22:03:19] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.76 dB
[2026-05-05 22:03:21] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.11 dB
[2026-05-05 22:03:23] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 30.0% | RSSI: -36.31 dB
[2026-05-05 22:03:26] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.96 dB
[2026-05-05 22:03:30] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.05 dB
[2026-05-05 22:03:32] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.25 dB
[2026-05-05 22:03:35] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.90 dB
[2026-05-05 22:03:38] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.20 dB
[2026-05-05 22:03:41] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 30.0% | RSSI: -37.15 dB
[2026-05-05 22:03:44] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.45 dB
[2026-05-05 22:03:46] STATUS: EMITTER_ID_SIG-004X | TRUST: 4.0% | RSSI: -24.71 dB
[2026-05-05 22:03:49] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -10.98 dB
[2026-05-05 22:03:52] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.11 dB
[2026-05-05 22:03:55] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.23 dB
[2026-05-05 22:03:57] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.11 dB
[2026-05-05 22:04:04] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -16.09 dB
[2026-05-05 22:04:07] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.89 dB
[2026-05-05 22:04:10] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.86 dB
[2026-05-05 22:04:13] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.03 dB
[2026-05-05 22:04:15] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.76 dB
[2026-05-05 22:04:18] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.80 dB
[2026-05-05 22:04:21] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -13.74 dB
[2026-05-05 22:04:24] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.03 dB
[2026-05-05 22:04:27] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.67 dB
[2026-05-05 22:04:30] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -3.91 dB
[2026-05-05 22:04:32] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.69 dB
[2026-05-05 22:04:36] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -14.14 dB
[2026-05-05 22:04:38] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.16 dB
[2026-05-05 22:04:42] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.68 dB
[2026-05-05 22:04:45] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -14.42 dB
[2026-05-05 22:04:48] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.47 dB
[2026-05-05 22:04:51] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.09 dB
[2026-05-05 22:04:54] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.84 dB
[2026-05-05 22:04:57] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.83 dB
[2026-05-05 22:05:02] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -54.00 dB
[2026-05-05 22:05:07] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.30 dB
[2026-05-05 22:05:14] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.59 dB
[2026-05-05 22:05:17] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.63 dB
[2026-05-05 22:05:20] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -16.23 dB
[2026-05-05 22:05:23] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.16 dB
[2026-05-05 22:05:26] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.85 dB
[2026-05-05 22:05:30] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.39 dB
[2026-05-05 22:05:32] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.82 dB
[2026-05-05 22:05:35] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.80 dB
[2026-05-05 22:05:38] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -46.85 dB
[2026-05-05 22:05:41] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.74 dB
[2026-05-05 22:05:44] STATUS: EMITTER_ID_SIG-004X | TRUST: 2.0% | RSSI: -15.33 dB
[2026-05-05 22:05:47] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -41.41 dB
[2026-05-05 22:05:50] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.15 dB
[2026-05-05 22:05:54] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.74 dB
[2026-05-05 22:05:57] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -42.99 dB
[2026-05-05 22:05:59] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -49.11 dB
[2026-05-05 22:06:03] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.74 dB
[2026-05-05 22:06:07] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -39.07 dB
[2026-05-05 22:06:10] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -50.21 dB
[2026-05-05 22:06:14] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -58.97 dB
[2026-05-05 22:06:16] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -13.75 dB
[2026-05-05 22:06:21] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -48.79 dB
[2026-05-05 22:06:25] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -52.52 dB
[2026-05-05 22:06:29] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -38.79 dB
[2026-05-05 22:06:31] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -49.56 dB
[2026-05-05 22:06:34] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -43.96 dB
[2026-05-05 22:06:37] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -40.50 dB
[2026-05-05 22:06:40] STATUS: EMITTER_ID_SIG-7721 | TRUST: 2.0% | RSSI: -6.62 dB
[2026-05-05 22:06:43] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.72 dB
[2026-05-05 22:06:46] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -47.71 dB
[2026-05-05 22:06:49] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -44.25 dB
[2026-05-05 22:06:52] STATUS: EMITTER_ID_SIG-UNKNOWN | TRUST: 36.0% | RSSI: -37.55 dB
